Genus,SpeciesName,Mnemonic,Family,Authority,Idlevel
Henriettella,aspera,HENRAS,Melastomataceae,,genus
Herrania,cuatrecasana,HERRCU,Malvaceae,Garc a-Barr.,species
Herrania,nitida,HERRNI,Malvaceae,(Poepp.) R. Schultes,species
Hevea,guianensis,HEVEGU,Euphorbiaceae,Aubl.,species
Hieronyma,alchorneoides,HIERAL,Phyllanthaceae,P. Franco,species
Hieronyma,oblonga,HIEROB,Phyllanthaceae,(Tul.) M ll. Arg.,species
Himatanthus,sucuuba,HIMASU,Apocynaceae,(Spruce ex M ll. Arg.) Woodson,species
Hirtella,excelsa,HIRTEX,Chrysobalanaceae,Standl. ex Prance,species
Hirtella,racemosa,HIRTRA,Chrysobalanaceae,Lam.,species
Huertea,glandulosa,HUERGL,Tapisciaceae,Ruiz & Pav.,species
Hymenaea,oblongifolia,HYMAOB,Fabaceae,Huber,species
Hymenolobium,stipsericea,HYMEST,Fabaceae,,genus
Hyospathe,elegans,HYOSEL,Arecaceae,Mart.,species
Inga,2ala-angosta,INGA2A,Fabaceae,,genus
Inga,3crasa,INGA3C,Fabaceae,,genus
Inga,3oscura,INGA3O,Fabaceae,,genus
Inga,4alitarco,INGA4A,Fabaceae,,genus
Inga,6cuadra,INGA6C,Fabaceae,,genus
Inga,acreana,INGAAC,Fabaceae,Harms,species
Inga,alata,INGAAL,Fabaceae,Benoist,species
Inga,alba,INGAAB,Fabaceae,(Sw.) Willd.,species
Inga,auristellae,INGAAU,Fabaceae,Harms,species
Inga,bourgonii,INGABO,Fabaceae,(Aubl.) DC.,species
Inga,brachyrhachis,INGABR,Fabaceae,Harms,species
Inga,capitata,INGACA,Fabaceae,Desv.,species
Inga,cayennensis,INGACY,Fabaceae,Sagot ex Benth.,species
Inga,ciliata,INGACI,Fabaceae,C. Presl,species
Inga,cinnamomea,INGACN,Fabaceae,Spruce ex Benth.,species
Inga,cordatoalata,INGACO,Fabaceae,Ducke,species
Inga,falsacre,INGAFA,Fabaceae,,genus
Inga,heterophylla,INGAHE,Fabaceae,Willd.,species
Inga,leiocalycina,INGALE,Fabaceae,Benth.,species
Inga,marginata,INGAMA,Fabaceae,Willd.,species
Inga,microcoma,INGAMI,Fabaceae,Harms,species
Inga,multinervis,INGAMU,Fabaceae,T.D. Penn.,species
Inga,nobilis,INGANO,Fabaceae,Willd.,species
Inga,oerstediana,INGAOE,Fabaceae,Benth.,species
Inga,poeppigiana,INGAPO,Fabaceae,Benth.,species
Inga,punctata,INGAPU,Fabaceae,Willd.,species
Inga,ruiziana,INGARU,Fabaceae,G. Don,species
Inga,rusbyi,INGARS,Fabaceae,Pittier,species
Inga,sapindoides,INGASA,Fabaceae,Willd.,species
Inga,sarayacuensis,INGASR,Fabaceae,T.D. Penn.,species
