"gbif_accepted_taxon_id","gbif_accepted_scientific_name"
2904938,"Macbrideina peruviana"
7932857,"Machaerium isadelphum"
5354986,"Machaerium leiophyllum"
5354946,"Machaerium mutisii"
2984579,"Maclura"
2984583,"Maclura tinctoria"
2948882,"Macrolobium acaciifolium"
2948900,"Macrolobium archeri"
7933627,"Macrolobium colombianum"
2948817,"Macrolobium gracile"
2948830,"Macrolobium ischnocalyx"
2948901,"Macrolobium limbatum"
2948803,"Macrolobium microcalyx"
2948758,"Macrolobium multijugum"
2948810,"Macrolobium stenocladum"
2948857,"Macrolobium suaveolens"
2888195,"Magnolia"
9058332,"Magnolia equatorialis"
3153490,"Magnolia neillii"
3153132,"Magnolia rimachii"
4690,"Magnoliaceae"
7317134,"Malouetia"
3620090,"Malouetia flavescens"
3619535,"Malouetia virescens"
2885024,"Manilkara"
2885366,"Manilkara bidentata"
2885025,"Manilkara inundata"
3054655,"Maprounea"
3054658,"Maprounea guianensis"
2757347,"Maranta"
2761398,"Maranta amazonica"
8362864,"Marila alternifolia"
8114121,"Marila cespedesiana"
5421079,"Marila grandiflora"
7656893,"Marila laxiflora"
8307325,"Marila plumbaginea"
7963111,"Marila podantha"
10305078,"Marila spiciformis"
8161335,"Marila tomentosa"
8154796,"Marlierea"
3784506,"Matayba adenanthera"
3784371,"Matayba elegans"
3784315,"Matayba inelegans"
4073049,"Matisia arteagensis"
4073793,"Matisia idroboi"
4073775,"Matisia inaequilatera"
4073753,"Matisia lasiocalyx"
4073723,"Matisia lomensis"
4073716,"Matisia longiflora"
4073635,"Matisia ochrocalyx"
4073487,"Matisia uberrima"
3233141,"Mauria"
5544309,"Mauria heterophylla"
8246057,"Mauritiella"
5293366,"Mauritiella armata"
3878802,"Mayna grandifolia"
3190496,"Melia"
5914287,"Melia azedarach"
7265169,"Melicoccus oliviformis"
2702502,"Melinis"
2702503,"Melinis minutiflora"
3838438,"Meliosma boliviensis"
3838526,"Meliosma glabrata"
3033961,"Meliosma herbertii"
3838406,"Meliosma loretoyacuensis"
3838404,"Meliosma palaciosii"
10913611,"Mespilodaphne cymbarum"
11020082,"Mespilodaphne quixos"
7314358,"Metteniusa"
3597478,"Metteniusa edulis"
7314445,"Metteniusa tessmanniana"
7529619,"Mezilaurus"
4182358,"Mezilaurus campaucola"
4182249,"Mezilaurus ita-uba"
9833843,"Mezilaurus opaca"
4181903,"Mezilaurus triunca"
3188559,"Miconia affinis"
3860547,"Miconia amazonica"
3860460,"Miconia ampla"
3860036,"Miconia appendiculata"
8379034,"Miconia astroplocama"
3859544,"Miconia aulocalyx"
